Year,Type,Deaths,Total,%
2005,Motor Vehicle,22,779,2.824133504
2006,Motor Vehicle,12,708,1.694915254
2007,Motor Vehicle,6,710,0.845070423
2008,Motor Vehicle,12,729,1.646090535
2009,Motor Vehicle,10,639,1.564945227
2010,Motor Vehicle,18,595,3.025210084
2011,Motor Vehicle,7,633,1.105845182
2012,Motor Vehicle,5,525,0.952380952
2013,Motor Vehicle,6,542,1.10701107
2014,Motor Vehicle,9,519,1.734104046
2015,Motor Vehicle,8,504,1.587301587
2016,Motor Vehicle,8,541,1.478743068
2017,Motor Vehicle,22,676,3.25443787
2018,Motor Vehicle,17,698,2.435530086
2019,Motor Vehicle,11,648,1.697530864
2020,Motor Vehicle,23,695,3.309352518
